country,carrier_name,CC,NDC,prefix
France,,33,33,33
France,Orange,33,3319,3319
France,Free,33,336000,336000
France,Orange,33,336001,336001
France,SFR,33,336002,336002
France,Bouygues,33,336003,336003
France,Orange,33,3360041,3360041
France,Orange,33,3360051,3360051
France,SFR,33,3360052,3360052
France,Free,33,336006,336006
France,SFR,33,336007,336007
France,Orange,33,336008,336008
France,Bouygues,33,336009,336009
France,SFR,33,33601,33601
France,SFR,33,33602,33602
France,SFR,33,33603,33603
France,SFR,33,336045,336045
France,SFR,33,336046,336046
France,SFR,33,336047,336047
France,SFR,33,336048,336048
France,SFR,33,336049,336049
France,Orange,33,33607,33607
France,Orange,33,33608,33608
France,SFR,33,33609,33609
France,SFR,33,3361,3361
France,SFR,33,3362,3362
France,Orange,33,33630,33630
France,Orange,33,33631,33631
France,Orange,33,33632,33632
France,Orange,33,33633,33633
France,SFR,33,33634,33634
France,SFR,33,33635,33635
France,Orange,33,33637,33637
France,Orange,33,336381,336381
France,Orange,33,336382,336382
France,Orange,33,336383,336383
France,Orange,33,336384,336384
France,Orange,33,336385,336385
France,Orange,33,336386,336386
France,Orange,33,336387,336387
France,Orange,33,336388,336388
France,Orange,33,336389,336389
France,Orange,33,336401,336401
France,Orange,33,336402,336402
France,Orange,33,336403,336403
France,Orange,33,336404,336404
France,Orange,33,336405,336405
France,Orange,33,336406,336406
France,Orange,33,336407,336407
France,Orange,33,336408,336408
France,Orange,33,336409,336409
France,SFR,33,3364166,3364166
France,SFR,33,3364167,3364167
France,SFR,33,3364168,3364168
France,SFR,33,3364169,3364169
France,Orange,33,33642,33642
France,Orange,33,33643,33643
France,Orange,33,336441,336441
France,Orange,33,336442,336442
France,Orange,33,336443,336443
France,Orange,33,33645,33645
France,SFR,33,33646,33646
France,Orange,33,33647,33647
France,Orange,33,33648,33648
France,Orange,33,336490,336490
France,Orange,33,336491,336491
France,Orange,33,336492,336492
France,Orange,33,336493,336493
France,Orange,33,336494,336494
France,Orange,33,3364951,3364951
France,Orange,33,3364952,3364952
France,Orange,33,3364953,3364953
France,Orange,33,3364954,3364954
France,Orange,33,3364955,3364955
France,Orange,33,3364956,3364956
France,Orange,33,3364957,3364957
France,Orange,33,3364958,3364958
France,Orange,33,3364959,3364959
France,Orange,33,336496,336496
France,Orange,33,336497,336497
France,Orange,33,336498,336498
France,Orange,33,3364992,3364992
France,Orange,33,3364993,3364993
France,SFR,33,3364999,3364999
France,Bouygues,33,33650,33650
France,Free,33,33651,33651
France,Free,33,33652,33652
France,Bouygues,33,336530,336530
France,Bouygues,33,336531,336531
France,Bouygues,33,336532,336532
France,Bouygues,33,336533,336533
France,Bouygues,33,336534,336534
France,Free,33,336535,336535
France,Free,33,336536,336536
France,Free,33,336537,336537
France,Free,33,336538,336538
France,Free,33,336539,336539
France,Orange,33,33654,33654
France,SFR,33,33655,33655
France,Bouygues,33,33658,33658
France,Bouygues,33,33659,33659
France,Bouygues,33,3366,3366
France,Orange,33,3367,3367
France,Orange,33,3368,3368
France,Free,33,33695,33695
France,Bouygues,33,33698,33698
France,Bouygues,33,33699,33699
France,SFR,33,337501,337501
France,SFR,33,337502,337502
France,SFR,33,337503,337503
France,SFR,33,337504,337504
France,Orange,33,3375061,3375061
France,Orange,33,3375062,3375062
France,Orange,33,3375063,3375063
France,Orange,33,3375064,3375064
France,Orange,33,3375065,3375065
France,Orange,33,3375066,3375066
France,Orange,33,3375067,3375067
France,Orange,33,3375068,3375068
France,Orange,33,3375069,3375069
France,Bouygues,33,3375078,3375078
France,Bouygues,33,3375079,3375079
France,SFR,33,337508,337508
France,SFR,33,337509,337509
France,SFR,33,337516,337516
France,SFR,33,337526,337526
France,SFR,33,3375644,3375644
France,SFR,33,3375645,3375645
France,SFR,33,3375708,3375708
France,SFR,33,3375709,3375709
France,SFR,33,3375710,3375710
France,SFR,33,3375711,3375711
France,SFR,33,3375712,3375712
France,SFR,33,3375714,3375714
France,Orange,33,3375719,3375719
France,Bouygues,33,3375764,3375764
France,Bouygues,33,3375765,3375765
France,SFR,33,3375770,3375770
France,SFR,33,3375771,3375771
France,SFR,33,3375772,3375772
France,SFR,33,3375773,3375773
France,SFR,33,3375774,3375774
France,Orange,33,3375786,3375786
France,Bouygues,33,33760,33760
France,Bouygues,33,33761,33761
France,Bouygues,33,33762,33762
France,Bouygues,33,33763,33763
France,Bouygues,33,33764,33764
France,Bouygues,33,33765,33765
France,Free,33,33766,33766
France,Free,33,33767,33767
France,Free,33,33768,33768
France,Free,33,33769,33769
France,Orange,33,337700,337700
France,Orange,33,337701,337701
France,Orange,33,337702,337702
France,SFR,33,337703,337703
France,SFR,33,337704,337704
France,SFR,33,337713,337713
France,SFR,33,337714,337714
France,SFR,33,3377150,3377150
France,SFR,33,3377151,3377151
France,SFR,33,3377152,3377152
France,SFR,33,3377153,3377153
France,SFR,33,3377154,3377154
France,Orange,33,33772,33772
France,SFR,33,337750,337750
France,SFR,33,337751,337751
France,SFR,33,337752,337752
France,SFR,33,337753,337753
France,SFR,33,337754,337754
France,Free,33,337757,337757
France,SFR,33,33776,33776
France,SFR,33,33777,33777
France,SFR,33,33778,33778
France,SFR,33,33779,33779
France,Orange,33,337840,337840
France,Orange,33,337841,337841
France,Orange,33,337842,337842
France,Orange,33,337843,337843
France,Orange,33,337844,337844
France,Orange,33,337845,337845
France,Orange,33,33785,33785
France,Orange,33,33786,33786
France,Orange,33,33787,33787
France,Orange,33,33788,33788
France,Orange,33,33789,33789
France,Bouygues,33,6699,336699
France,Bouygues,33,698,33698
France,Bouygues,33,761,33761
France,Free,33,653,33653
France,Orange,33,,33
France,SFR,33,602,33602
France,SFR,33,640,33640
France,SFR,33,6417,336417
France,SFR,33,643,33643
France,SFR,33,644,33644
France,SFR,33,645,33645
France,SFR,33,648,33648
France,SFR,33,6492,336492
France,SFR,33,64956,3364956
France,SFR,33,64958,3364958
France,SFR,33,670,33670
France,SFR,33,688,33688
France,SFR,33,77158,3377158
France,SFR,33,787,33787
France,SFR,33,788,33788
France,SFR,33,10,3310
France,Bouygues,33,60042,3360042
France,Bouygues,33,6532,336532
France,Bouygues,33,663,33663
France,Bouygues,33,6697,336697
France,Bouygues,33,7521,337521
France,Bouygues,33,20,3320
France,Free,33,651,33651
France,Free,33,69500,3369500
France,Airnity SAS,883,390,883390
France,SFR,33,607,33607
France,SFR,33,6368,336368
France,SFR,33,6494,336494
France,SFR,33,64954,3364954
France,SFR,33,6498,336498
France,SFR,33,64993,3364993
France,SFR,33,671,33671
France,SFR,33,672,33672
France,SFR,33,679,33679
France,SFR,33,686,33686
France,SFR,33,77156,3377156
France,Bouygues,33,6446,336446
France,Bouygues,33,650,33650
France,Bouygues,33,66,3366
France,Bouygues,33,660,33660
France,Bouygues,33,6691,336691
France,Bouygues,33,6696,336696
France,Bouygues,33,764,33764
France,Bouygues,33,,33
France,Free,33,652,33652
France,Free,33,695,33695
France,Airnity SAS,883,81,88381
France,Orange,33,602,33602
France,Orange,33,01,3301
France,SFR,33,636,33636
France,SFR,33,64951,3364951
France,SFR,33,64953,3364953
France,SFR,33,673,33673
France,SFR,33,678,33678
France,SFR,33,682,33682
France,SFR,33,689,33689
France,SFR,33,7700,337700
France,SFR,33,786,33786
France,Bouygues,33,64950,3364950
France,Bouygues,33,658,33658
France,Bouygues,33,664,33664
France,Bouygues,33,667,33667
France,Bouygues,33,6693,336693
France,Bouygues,33,6694,336694
France,Bouygues,33,7522,337522
France,Bouygues,33,76,3376
France,SFR,33,608,33608
France,SFR,33,633,33633
France,SFR,33,647,33647
France,SFR,33,684,33684
France,SFR,33,750,33750
France,SFR,33,77155,3377155
France,SFR,33,77159,3377159
France,Bouygues,33,653,33653
France,Bouygues,33,6531,336531
France,Bouygues,33,665,33665
France,Bouygues,33,666,33666
France,Bouygues,33,6692,336692
France,Bouygues,33,7524,337524
France,Bouygues,33,762,33762
France,Bouygues,33,763,33763
France,SFR,33,638,33638
France,SFR,33,64160,3364160
France,SFR,33,6493,336493
France,SFR,33,64952,3364952
France,SFR,33,64959,3364959
France,SFR,33,6496,336496
France,SFR,33,674,33674
France,SFR,33,675,33675
France,SFR,33,677,33677
France,SFR,33,680,33680
France,SFR,33,685,33685
France,SFR,33,7707,337707
France,SFR,33,771,33771
France,SFR,33,77157,3377157
France,Bouygues,33,6009,336009
France,Bouygues,33,605,33605
France,Bouygues,33,6533,336533
France,Bouygues,33,6534,336534
France,Bouygues,33,6695,336695
France,Bouygues,33,699,33699
France,Bouygues,33,7523,337523
France,Bouygues,33,758,33758
France,Bouygues,33,760,33760
France,SFR,33,631,33631
France,SFR,33,632,33632
France,SFR,33,6366,336366
France,SFR,33,6490,336490
France,SFR,33,6491,336491
France,SFR,33,64955,3364955
France,SFR,33,64957,3364957
France,SFR,33,676,33676
France,SFR,33,683,33683
France,SFR,33,687,33687
France,SFR,33,7701,337701
France,SFR,33,7708,337708
France,SFR,33,785,33785
France,SFR,33,,33
France,Bouygues,33,668,33668
France,Bouygues,33,751,33751
France,SFR,33,6367,336367
France,SFR,33,6369,336369
France,SFR,33,64992,3364992
France,SFR,33,681,33681
France,SFR,33,7702,337702
France,SFR,33,7705,337705
France,SFR,33,7709,337709
France,Bouygues,33,6530,336530
France,Bouygues,33,659,33659
France,Bouygues,33,661,33661
France,Bouygues,33,662,33662
France,Bouygues,33,6690,336690
France,Bouygues,33,7525,337525
France,Bouygues,33,753,33753
France,Free,33,,33
France,Free,33,15,3315
France,SFR,33,630,33630
France,SFR,33,6365,336365
France,SFR,33,637,33637
France,SFR,33,64161,3364161
France,SFR,33,642,33642
France,SFR,33,6497,336497
France,SFR,33,7706,337706
France,Bouygues,33,6003,336003
France,Bouygues,33,6444,336444
Libya,Madar,218,91,21891
Libya,Madar,218,93,21893
Libya,Libyana,218,92,21892
Libya,Libyana,218,94,21894
Algeria,Mobilis,213,6,2136
Algeria,Djezzy,213,7,2137
Algeria,Ooredoo,213,5,2135
Saudi Arabia,STC,966,50,96650
Saudi Arabia,STC,966,53,96653
Saudi Arabia,STC,966,55,96655
Saudi Arabia,Mobily,966,54,96654
Saudi Arabia,Mobily,966,56,96656
Saudi Arabia,Zain,966,58,96658
Saudi Arabia,Zain,966,59,96659
Italy,WIND,39,323,39323
Italy,TIM,39,334,39334
Italy,TIM,39,339,39339
Italy,Iliad,39,3213,393213
Italy,Iliad,39,3216,393216
Italy,Iliad,39,334,39334
Italy,Iliad,39,346,39346
Italy,Iliad,39,3512,393512
Italy,Iliad,39,3518,393518
Italy,Iliad,39,3520,393520
Italy,Iliad,39,3533,393533
Italy,Iliad,39,371,39371
Italy,Vodafone,39,324,39324
Italy,WIND,39,320,39320
Italy,TIM,39,338,39338
Italy,TIM,39,360,39360
Italy,TIM,39,366,39366
Italy,Iliad,39,324,39324
Italy,Iliad,39,342,39342
Italy,Iliad,39,349,39349
Italy,Iliad,39,389,39389
Italy,WIND,39,380,39380
Italy,WIND,39,88,3988
Italy,TIM,39,335,39335
Italy,TIM,39,363,39363
Italy,Iliad,39,3211,393211
Italy,Iliad,39,3215,393215
Italy,Iliad,39,337,39337
Italy,Iliad,39,340,39340
Italy,Iliad,39,3514,393514
Italy,Iliad,39,3515,393515
Italy,Iliad,39,3517,393517
Italy,Iliad,39,373,39373
Italy,Iliad,39,02,3902
Italy,DigiItlySRL,39,3533,393533
Italy,H3G,39,391,39391
Italy,H3G,39,99,3999
Italy,Tel. Italia,39,,39
Italy,WIND,39,329,39329
Italy,WIND,39,,39
Italy,TIM,39,337,39337
